cst_id,cst_key,cst_firstname,cst_lastname,cst_marital_status,cst_gndr,cst_create_date
11000,AW00011000, Jon,Yang ,M,M,3/22/2022
11001,AW00011001,Eugene,Huang  ,S,M,11/7/2020
11002,AW00011002,Ruben, Torres,M,M,6/24/2023
11003,AW00011003,Christy,  Zhu,S,F,9/8/2020
11004,AW00011004, Elizabeth,Johnson,S,F,11/28/2023
11005,AW00011005,Julio,Ruiz,S,M,5/22/2022
11006,AW00011006,Janet,Alvarez,S,F,1/21/2021
11007,AW00011007,Marco,Mehta,M,M,11/14/2020
11008,AW00011008,Rob,Verhoff,S,F,7/25/2021
11009,AW00011009,Shannon,Carlson,S,M,6/1/2021
11010,AW00011010,Jacquelyn,Suarez,S,F,3/21/2022
11011,AW00011011,Curtis,Lu,M,M,7/23/2020
11012,AW00011012,  Lauren, Walker,M,F,2/5/2023
11013,AW00011013, Ian , Jenkins ,M,M,10/8/2024
11014,AW00011014,Sydney,Bennett,S,F,8/10/2020
11015,AW00011015,  Chloe,Young,S,F,6/7/2022
11016,AW00011016,Wyatt,Hill,M,M,4/21/2021
11017,AW00011017,Shannon,Wang,S,F,6/27/2023
11018,AW00011018,Clarence,Rai,S,M,7/1/2022
11019,AW00011019,Luke,Lal,S,M,1/24/2023
11020,AW00011020,Jordan,King,S,M,3/18/2020
11021,AW00011021, Destiny,Wilson ,S,F,4/18/2020
11022,AW00011022,Ethan,Zhang,M,M,10/27/2023
11023,AW00011023,Seth,Edwards,M,M,6/6/2021
11024,AW00011024,Russell,Xie,M,M,7/12/2022
11025,AW00011025,Alejandro,Beck,M,M,6/23/2024
11026,AW00011026,Harold,Sai,S,M,7/14/2020
11027,AW00011027,Jessie,Zhao,M,M,3/5/2022
11028,AW00011028,Jill,Jimenez,M,F,10/13/2024
11029,AW00011029,Jimmy,Moreno,M,M,7/20/2024
11030,AW00011030,Bethany,Yuan,M,F,4/17/2024
11031,AW00011031,Theresa,Ramos,M,F,10/8/2024
11032,AW00011032,Denise,Stone,M,F,5/22/2020
11033,AW00011033,Jaime,Nath,M,M,2/3/2023
11034,AW00011034,Ebony,Gonzalez,M,F,11/14/2022
11035,AW00011035,Wendy,Dominguez,M,F,11/19/2020
11036,AW00011036,Jennifer,Russell,M,F,6/18/2021
11037,AW00011037,Chloe,Garcia,S,F,3/10/2024
11038,AW00011038,Diana,Hernandez,M,F,9/25/2021
11039,AW00011039,Marc,Martin,M,M,6/15/2023
11040,AW00011040,Jesse,Murphy,M,M,11/9/2022
11041,AW00011041,Amanda,Carter,M,F,4/30/2020
11042,AW00011042,Megan,Sanchez,M,F,7/20/2023
11043,AW00011043,Nathan,Simmons,M,M,1/3/2020
11044,AW00011044,Adam,Flores,M,M,12/18/2021
11045,AW00011045,Leonard,Nara,S,M,8/18/2021
11046,AW00011046,Christine,Yuan,M,F,6/20/2022
11047,AW00011047,Jaclyn,Lu,M,F,4/21/2023
