CID,BDATE,GEN
NASAW00011000,8/26/1989,Male
NASAW00011001,5/15/1994,Male
NASAW00011002,11/18/2001,Male
NASAW00011003,9/2/2001,Female
NASAW00011004,7/5/1984,Female
NASAW00011005,10/20/1981,Male
NASAW00011006,3/9/1983,Female
NASAW00011007,4/6/1976,Male
NASAW00011008,6/27/1992,Female
NASAW00011009,11/2/1990,Male
NASAW00011010,12/15/1976,Female
NASAW00011011,5/5/1988,Male
NASAW00011012,5/19/1997,Female
NASAW00011013,11/4/1977,Male
NASAW00011014,12/1/2000,Female
NASAW00011015,9/23/1977,Female
NASAW00011016,7/9/1977,Male
NASAW00011017,11/19/1980,Female
NASAW00011018,3/18/1976,Male
NASAW00011019,5/26/1999,Male
NASAW00011020,7/8/2001,Male
NASAW00011021,5/19/1990,Female
NASAW00011022,4/24/1985,Female
NASAW00011023,8/28/2003,Female
NASAW00011024,1/14/1997,Female
NASAW00011025,12/4/1999,Female
NASAW00011026,8/19/2004,Female
NASAW00011027,9/25/1976,Female
NASAW00011028,7/21/2002,Female
NASAW00011029,9/6/1982,Female
NASAW00011030,8/20/1989,Female
NASAW00011031,8/30/2004,Female
NASAW00011032,10/3/1975,Female
NASAW00011033,10/11/2003,Female
NASAW00011034,8/6/1981,Female
NASAW00011035,3/10/2003,Female
NASAW00011036,6/21/1975,Female
NASAW00011037,5/8/1983,Female
NASAW00011038,5/9/2002,Female
NASAW00011039,12/27/1988,  
NASAW00011040,8/25/1977, 
NASAW00011041,2/12/1993, 
NASAW00011042,9/23/1991,Female
NASAW00011043,6/15/1995,Female
NASAW00011044,1/7/1987,Female
NASAW00011045,1/27/1982,Female
NASAW00011046,4/9/1984,Female
NASAW00011047,4/18/2004,Female
NASAW00011048,8/22/1986,Female
NASAW00011049,3/5/1994,Female
NASAW00011050,10/8/1993,Female
NASAW00011051,7/3/1997,Female
NASAW00011052,9/22/1982,Female
NASAW00011053,9/13/2004,Female
NASAW00011054,7/22/1996,Female
NASAW00011055,2/15/1979,M 
NASAW00011056,6/1/1996,F 
NASAW00011057,5/24/1975,Female
NASAW00011058,11/12/1983,Female
NASAW00011059,1/16/1976,Female
NASAW00011060,1/26/1984,Female
NASAW00011061,5/27/1995,Male
NASAW00011062,2/27/1978,Male
NASAW00011063,8/22/1980,Female
NASAW00011064,1/1/1991,Male
NASAW00011065,10/15/1999,Female
NASAW00011066,11/1/1983,Female
NASAW00011067,10/25/1999,Male
NASAW00011068,9/3/1976,Female
NASAW00011069,1/4/1978,Female
NASAW00011070,9/11/1999,Male
NASAW00011071,12/23/2002,Female
NASAW00011072,2/1/1997,Female
NASAW00011073,6/4/1997,Female
NASAW00011074,10/7/1992,Male
NASAW00011075,8/16/1998,Female
NASAW00011076,2/28/1981,Male
NASAW00011077,12/27/1981,Female
NASAW00011078,5/27/1995,Female
NASAW00011079,8/16/1980,Male
NASAW00011080,6/17/1987,Male
NASAW00011081,11/7/1979,Female
NASAW00011082,2/7/1984,Female
NASAW00011083,6/7/1978,Female
NASAW00011084,1/20/1984,Male
NASAW00011085,11/13/2003,Female
NASAW00011086,1/27/1978,Male
NASAW00011087,6/19/1999,Female
NASAW00011088,7/17/1983,Male
NASAW00011089,8/11/1979,Female
NASAW00011090,7/17/1978,Male
NASAW00011091,3/14/1976,Male
NASAW00011092,7/8/1985,Female
NASAW00011093,1/29/1979,Female
NASAW00011094,2/5/1998,Male
NASAW00011095,7/30/2000,Male
NASAW00011096,11/20/1986,Male
NASAW00011097,4/8/2004,Male
NASAW00011098,8/30/1978,Female
NASAW00011099,3/6/2004,Male
NASAW00011100,12/18/1979,Female
NASAW00011101,12/17/1990,Female
NASAW00011102,9/24/1986,Female
NASAW00011103,2/21/1982,Female
NASAW00011104,2/7/2000,Male
NASAW00011105,1/28/1986,Female
NASAW00011106,3/12/2003,Male
NASAW00011107,9/24/1997,Female
NASAW00011108,7/16/1981,Female
NASAW00011109,11/24/2002,Male
NASAW00011110,9/15/1977,Male
NASAW00011111,10/10/2000,Female
NASAW00011112,12/26/1985,Female
NASAW00011113,9/1/1976,Male
NASAW00011114,2/1/1985,Female
NASAW00011115,4/10/2003,Male
NASAW00011116,6/16/1998,Male
NASAW00011117,9/1/1985,Female
NASAW00011118,10/27/1994,Male
NASAW00011119,1/25/1996,Male
NASAW00011120,11/18/1988,Female
NASAW00011121,8/15/1980,Male
NASAW00011122,9/23/1981,Male
NASAW00011123,6/25/1988,Male
NASAW00011124,9/25/1987,Male
NASAW00011125,12/19/1978,Female
NASAW00011126,8/5/1985,Male
NASAW00011127,2/22/1996,Female
NASAW00011128,12/2/1983,Female
NASAW00011129,10/13/1997,Female
NASAW00011130,9/21/1982,Female
NASAW00011131,7/4/2003,Female
NASAW00011132,9/11/1982,Female
NASAW00011133,1/30/1982,Female
NASAW00011134,6/26/1977,Male
NASAW00011135,9/16/1996,Male
NASAW00011136,5/19/1995,Female
NASAW00011137,3/29/2003,Female
NASAW00011138,5/20/1996,Female
NASAW00011139,5/2/1986,Female
NASAW00011140,7/20/1996,Male
NASAW00011141,4/14/1992,F
NASAW00011142,9/30/1995,M
NASAW00011143,6/24/1981,Male
NASAW00011144,3/31/1999,Male
NASAW00011145,10/8/1986,Female
NASAW00011146,7/18/1990,Female
NASAW00011147,2/28/1976,Male
NASAW00011148,10/15/1999,Male
NASAW00011149,12/20/2000,Male
NASAW00011150,1/18/1984,Male
NASAW00011151,11/6/1989,Female
NASAW00011152,10/11/1998,Male
NASAW00011153,2/18/2003,Female
NASAW00011154,9/8/1999,Female
NASAW00011155,2/1/1988,Male
NASAW00011156,12/25/1994,Female
NASAW00011157,12/25/1976,Female
NASAW00011158,12/19/2004,Male
